"Frame","N_Person","Xcenter","Ycenter","PerXmin","PerYmin","PerXmax","PerYmax","N_Handgun","HgXcenter","HgYcenter","HgXmin","HgYmin","HgXmax","HgYmax","Intersection","Included_Center","Intersection_Area","Hg_Area","Distance","Ground_Truth"
"0","0","474.9994507","309.5829468","395.3772507","156.4027252","554.6216507","462.7631683","0","409.8819885","190.0479584","394.064373","176.1155767","425.699604","203.98034","Center_left","1","844.9251979","881.508223","136.1208923","1"
"0","1","338.1248169","308.649231","279.3512611","157.6564178","396.8983727","459.6420441","0","409.8819885","190.0479584","394.064373","176.1155767","425.699604","203.98034","Up_right","0","78.96872887","881.508223","138.6194558","0"
"1","0","474.9388428","309.6235657","395.1613083","156.5917053","554.7163773","462.655426","0","409.638031","189.96492","393.6074352","176.0509987","425.6686268","203.8788414","Center_left","1","848.9528607","892.1937959","136.3172311","1"
"1","1","338.2744751","308.5340271","279.5393143","157.6743927","397.0096359","459.3936615","0","409.638031","189.96492","393.6074352","176.0509987","425.6686268","203.8788414","Up_right","0","94.67590592","892.1937959","138.3885482","0"
"2","0","475.0704651","309.4753723","395.4842911","156.1380768","554.6566391","462.8126678","0","409.6107178","189.8274384","393.5938263","175.9320564","425.6276093","203.7228203","Center_left","1","837.7058372","890.2432976","136.3840409","1"
"2","1","338.0889282","308.4052429","279.6255074","157.3363495","396.5523491","459.4741364","0","409.6107178","189.8274384","393.5938263","175.9320564","425.6276093","203.7228203","Up_right","0","82.2196084","890.2432976","138.4776593","0"
"3","0","476.8373108","308.9012451","399.2882385","154.4483643","554.3863831","463.354126","0","408.519043","190.2204895","393.3283768","177.6538963","423.7097092","202.7870827","Center_left","1","613.7893724","763.5796884","136.9397951","1"
"3","1","338.5126343","306.9005127","276.6603928","155.307724","400.3648758","458.4933014","0","408.519043","190.2204895","393.3283768","177.6538963","423.7097092","202.7870827","Up_right","0","176.8496411","763.5796884","136.0702946","0"
"4","0","476.9186401","308.8150635","399.5984039","154.2497559","554.2388763","463.3803711","0","408.6135254","190.2335968","393.4559345","177.5820599","423.7711163","202.8851337","Center_left","1","611.6439259","767.0672831","136.8471883","1"
"4","1","338.6019592","306.8413086","276.3305435","155.1591949","400.8733749","458.5234222","0","408.6135254","190.2335968","393.4559345","177.5820599","423.7711163","202.8851337","Up_right","0","187.6840428","767.0672831","136.0109475","0"
